Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Bench-Capon T., Sartor G.","7004514001;56265404000;","A model of legal reasoning with cases incorporating theories and values",2003,"Artificial Intelligence","150","1-2",,"97","143",,167,"10.1016/S0004-3702(03)00108-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0142166366&doi=10.1016%2fS0004-3702%2803%2900108-5&partnerID=40&md5=c3876fab1122d61a4416494e5c188c76","Department of Computer Science, University of Liverpool, Liverpool, United Kingdom; CIRSFID, Faculty of Law, University of Bologna, Liverpool, Italy","Bench-Capon, T., Department of Computer Science, University of Liverpool, Liverpool, United Kingdom; Sartor, G., CIRSFID, Faculty of Law, University of Bologna, Liverpool, Italy","Reasoning with cases has been a primary focus of those working in AI and law who have attempted to model legal reasoning. In this paper we put forward a formal model of reasoning with cases which captures many of the insights from that previous work. We begin by stating our view of reasoning with cases as a process of constructing, evaluating and applying a theory. Central to our model is a view of the relationship between cases, rules based on cases, and the social values which justify those rules. Having given our view of these relationships, we present our formal model of them, and explain how theories can be constructed, compared and evaluated. We then show how previous work can be described in terms of our model, and discuss extensions to the basic model to accommodate particular features of previous work. We conclude by identifying some directions for future work. © 2003 Elsevier B.V. All rights reserved.","Case-based reasoning; Legal reasoning; Theory construction","Knowledge based systems; Laws and legislation; Mathematical models; Legal reasoning; Artificial intelligence","Bench-Capon, T.; Department of Computer Science, , Liverpool, United Kingdom; email: tbc@csc.liv.ac.uk",,,00043702,,AINTB,,"English","Artif Intell",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-0142166366
"Rissland E.L., Skalak D.B.","6701660287;6506989205;","CABARET: rule interpretation in a hybrid architecture",1991,"International Journal of Man-Machine Studies","34","6",,"839","887",,151,"10.1016/0020-7373(91)90013-W","https://www.scopus.com/inward/record.uri?eid=2-s2.0-40249113510&doi=10.1016%2f0020-7373%2891%2990013-W&partnerID=40&md5=509938e33d757b4f8be7ddf27e323825","Department of Computer and Information Science, University of Massachusetts, Amherst, MA 01003, United States","Rissland, E.L., Department of Computer and Information Science, University of Massachusetts, Amherst, MA 01003, United States; Skalak, D.B., Department of Computer and Information Science, University of Massachusetts, Amherst, MA 01003, United States","Rules often contain terms that are ambiguous, poorly defined or not defined at all. In order to interpret and apply rules containing such terms, appeal must be made to their previous constructions, as in the interpretation of legal statutes through relevant legal cases. We describe a system CABARET (CAse-BAsed REasoning Tool) that provides a domain-independent shell that integrates reasoning with rules and reasoning with previous cases in order to apply rules containing ill-defined terms. The integration of these two reasoning paradigms is performed via a collection of control heuristics, which suggest how to interleave case-based methods and rule-based methods to construct an argument to support a particular interpretation. CABARET is currently instantiated with cases and rules from an area of income tax law, the so-called ""home office deduction"". An example of CABARET's processing of an actual tax case is provided in some detail. The advantages of CABARET's hybrid approach to interpretation stem from the synergy derived from interleaving case-based and rule-based tasks. © 1991.",,,"Rissland, E.L.; Department of Computer and Information Science, University of Massachusetts, Amherst, MA 01003, United States",,,00207373,,IJMMB,,"English","Int. J. Man-Mach. Stud.",Article,"Final","",Scopus,2-s2.0-40249113510
"Prakken H., Sartor G.","6602178876;56265404000;","Modelling reasoning with precedents in a formal dialogue game",1998,"Artificial Intelligence and Law","6","2-4",,"231","287",,143,"10.1023/a:1008278309945","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032309788&doi=10.1023%2fa%3a1008278309945&partnerID=40&md5=6a9347f5540ae6cd8dff0b5d01d864b7","Dept. of Math. and Computer Science, Free University Amsterdam, Netherlands; Faculty of Law, Queen's University of Belfast, Belfast BT7 1NN, United Kingdom; Computer/Law Institute, Faculty of Law, Free University Amsterdam, Netherlands","Prakken, H., Dept. of Math. and Computer Science, Free University Amsterdam, Netherlands, Computer/Law Institute, Faculty of Law, Free University Amsterdam, Netherlands; Sartor, G., Faculty of Law, Queen's University of Belfast, Belfast BT7 1NN, United Kingdom","This paper analyses legal reasoning with precedents in the setting of a formally defined dialogue game. After giving a legal-theoretical account of judicial reasoning with precedents, a formal method is proposed for representing precedents and it is discussed how such representations can be used in a formally defined dialectical protocol for dispute. The basic ideas are to represent cases as argument structures (including pro and con arguments, and the arguments for adjudicating their conflicts) and to define certain case-based reasoning moves as strategies for introducing information into a dispute. In particular, analogizing and distinguishing are conceived as elementary theory construction moves, which produce new information on the basis of an existing stock of cases. The approach also offers the possibility of using portions of precedents and of expressing criteria for determining the outcome of precedent-based disputes. The analysis, which is partly based on argument-based semantics of defeasible reasoning, has two aims. The first is to provide a formalization of certain aspects of legal theories unjudicial reasoning and judge-made law, and the second is to provide formal foundations for certain aspects of computer programs for case-based reasoning in the legal domain.","Case-based reasoning; Defeasible argumentation; Normative dialectics; Precedents","Computational grammars; Decision making; Formal logic; Game theory; Knowledge based systems; Knowledge representation; Mathematical models; Case-based reasoning; Defeasible argumentation; Formal dialogue game; Normative dialectics; Artificial intelligence",,,"Kluwer Academic Publishers",09248463,,AINLE,,"English","Artif Intell Law",Article,"Final","",Scopus,2-s2.0-0032309788
"Skalak D.B., Rissland E.L.","6506989205;6701660287;","Arguments and cases: An inevitable intertwining",1992,"Artificial Intelligence and Law","1","1",,"3","44",,126,"10.1007/BF00118477","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001958669&doi=10.1007%2fBF00118477&partnerID=40&md5=c37c2ecb44cdd94438e3d0d2f4348b5e","Dept. of Computer Science, University of Massachusetts, Amherst, 01003, Massachusetts, United States","Skalak, D.B., Dept. of Computer Science, University of Massachusetts, Amherst, 01003, Massachusetts, United States; Rissland, E.L., Dept. of Computer Science, University of Massachusetts, Amherst, 01003, Massachusetts, United States","We discuss several aspects of legal arguments, primarily arguments about the meaning of statutes. First, we discuss how the requirements of argument guide the specification and selection of supporting cases and how an existing case base influences argument formation. Second, we present,our evolving taxonomy of patterns of actual legal argument. This taxonomy builds upon our much earlier work on 'argument moves"" and also on our more recent analysis of how cases are used to support arguments for the interpretation of legal statutes. Third, we show how the theory of argument used by CABARET, a hybrid case-based/rule-based reasoner, can support many of the argument patterns in our taxonomy. © 1992 Kluwer Academic Publishers.","argument; case-based reasoning; mixed paradigm; statutory interpretation",,"Skalak, D.B.; Dept. of Computer Science, , Amherst, 01003, Massachusetts, United States; email: skalak@cs.umass.edu",,"Kluwer Academic Publishers",09248463,,AINLE,,"English","Artif Intell Law",Article,"Final","",Scopus,2-s2.0-0001958669
"Aleven V.","6602528401;","Using background knowledge in case-based legal reasoning: A computational model and an intelligent learning environment",2003,"Artificial Intelligence","150","1-2",,"183","237",,107,"10.1016/S0004-3702(03)00105-X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0142228346&doi=10.1016%2fS0004-3702%2803%2900105-X&partnerID=40&md5=4db09579f7c2e3cde519a38208dc370c","Human-Computer Interaction Institute, Carnegie Mellon University, 5000 Forbes Ave, Pittsburgh, PA 15213, United States","Aleven, V., Human-Computer Interaction Institute, Carnegie Mellon University, 5000 Forbes Ave, Pittsburgh, PA 15213, United States","Researchers in the field of AI and Law have developed a number of computational models of the arguments that skilled attorneys make based on past cases. However, these models have not accounted for the ways that attorneys use middle-level normative background knowledge (1) to organize multi-case arguments, (2) to reason about the significance of differences between cases, and (3) to assess the relevance of precedent cases to a given problem situation. We present a novel model, that accounts for these argumentation phenomena. An evaluation study showed that arguments about the significance of distinctions based on this model help predict the outcome of cases in the area of trade secrets law, confirming the quality of these arguments. The model forms the basis of an intelligent learning environment called CATO, which was designed to help beginning law students acquire basic argumentation skills. CATO uses the model for a number of purposes, including the dynamic generation of argumentation examples. In a second evaluation study, carried out in the context of an actual legal writing course, we compared instruction with CATO against the best traditional legal writing instruction. The results indicate that CATO's example-based instructional approach is effective in teaching basic argumentation skills. However, a more ""integrated"" approach appears to be needed if students are to achieve better transfer of these skills to more complex contexts. CATO's argumentation model and instructional environment are a contribution to the research fields of AI and Law, Case-Based Reasoning, and AI and Education. © 2003 Elsevier B.V. All rights reserved.","AI and Law; Case-based reasoning; Intelligent learning environments; Intelligent tutoring systems; Modeling argumentation; Similarity assessment","Computational methods; Knowledge based systems; Laws and legislation; Learning systems; Mathematical models; Legal reasoning; Artificial intelligence","Aleven, V.; Human-Computer Interaction Institute, 5000 Forbes Ave, Pittsburgh, PA 15213, United States; email: aleven@cs.cmu.edu",,,00043702,,AINTB,,"English","Artif Intell",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-0142228346
"Ashley K.D., Brüninghaus S.","7005232254;6505857408;","Automatically classifying case texts and predicting outcomes",2009,"Artificial Intelligence and Law","17","2",,"125","165",,89,"10.1007/s10506-009-9077-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67849135036&doi=10.1007%2fs10506-009-9077-9&partnerID=40&md5=68c4d273b39b68c5cf8ee89bca0075bf","Learning Research and Development Center, University of Pittsburgh, Pittsburgh, PA, United States; Graduate Program in Intelligent Systems, University of Pittsburgh, Pittsburgh, PA, United States","Ashley, K.D., Learning Research and Development Center, University of Pittsburgh, Pittsburgh, PA, United States; Brüninghaus, S., Graduate Program in Intelligent Systems, University of Pittsburgh, Pittsburgh, PA, United States","Work on a computer program called SMILE + IBP (SMart Index Learner Plus Issue-Based Prediction) bridges case-based reasoning and extracting information from texts. The program addresses a technologically challenging task that is also very relevant from a legal viewpoint: to extract information from textual descriptions of the facts of decided cases and apply that information to predict the outcomes of new cases. The program attempts to automatically classify textual descriptions of the facts of legal problems in terms of Factors, a set of classification concepts that capture stereotypical fact patterns that effect the strength of a legal claim, here trade secret misappropriation. Using these classifications, the program can evaluate and explain predictions about a problem's outcome given a database of previously classified cases. This paper provides an extended example illustrating both functions, prediction by IBP and text classification by SMILE, and reports empirical evaluations of each. While IBP's results are quite strong, and SMILE's much weaker, SMILE + IBP still has some success predicting and explaining the outcomes of case scenarios input as texts. It marks the first time to our knowledge that a program can reason automatically about legal case texts. © 2009 Springer Science+Business Media B.V.","Case-based reasoning; Classifying case texts; Predicting case outcomes","Classifying case texts; Computer program; Empirical evaluations; Extracting information; Legal case; Legal problems; Predicting case outcomes; Predicting outcomes; Text classification; Textual description; Trade secrets; Text processing; Case based reasoning","Ashley, K. D.; Learning Research and Development Center, , Pittsburgh, PA, United States; email: Ashley@pitt.edu",,,09248463,,AINLE,,"English","Artif Intell Law",Article,"Final","",Scopus,2-s2.0-67849135036
"Branting L.K.","6602085801;","Building explanations from rules and structured cases",1991,"International Journal of Man-Machine Studies","34","6",,"797","837",,88,"10.1016/0020-7373(91)90012-V","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000164467&doi=10.1016%2f0020-7373%2891%2990012-V&partnerID=40&md5=3cac8a2589e733d9196bc1a2a2da57b9","Department of Computer Science, University of Wyoming, Laramie, WY 82071, United States","Branting, L.K., Department of Computer Science, University of Wyoming, Laramie, WY 82071, United States","A central task underlying many of the activities of attorneys is inferring the legal consequences of a given set of facts. GREBE (GeneratoR of Exemplar-Based Explanations) is a system that uses detailed knowledge of the facts and reasoning of specific past cases, together with legal rules and common-sense knowledge, to determine and justify the legal consequences of new cases. GREBE can apply either rule-based reasoning or case-based reasoning to goals at any level of its analysis. GREBE uses an approach to case-based reasoning in which new cases are compared with the smallest collections of precedent facts that justified an individual inference step in the explanation of a precedent case. This enables knowledge of the interactions among individual inference steps in a precedent to be used in case comparison. Case comparison is also assisted by an expressive semantic network representation of case facts. Techniques are presented for retrieving and comparing cases represented in this formalism. GREBE's output is a memorandum that justifies a legal conclusion in terms of the applicable precedents and legal rules. © 1991.",,,"Branting, L.K.; Department of Computer Science, University of Wyoming, Laramie, WY 82071, United States",,,00207373,,IJMMB,,"English","Int. J. Man-Mach. Stud.",Article,"Final","",Scopus,2-s2.0-0000164467
"Bruninghaus S., Ashley K.D.","6505857408;7005232254;","Predicting outcomes of case based legal arguments",2003,"Proceedings of the International Conference on Artificial Intelligence and Law",,,"1047838","233","242",,87,"10.1145/1047788.1047838","https://www.scopus.com/inward/record.uri?eid=2-s2.0-29144474860&doi=10.1145%2f1047788.1047838&partnerID=40&md5=a4c057f6746c42d50b3fc843c015e836","University of Pittsburgh, Pittsburgh, PA, United States","Bruninghaus, S., University of Pittsburgh, Pittsburgh, PA, United States; Ashley, K.D., University of Pittsburgh, Pittsburgh, PA, United States","In this paper, we introduce IBP, an algorithm that combines reasoning with an abstract domain model and case-based reasoning techniques to predict the outcome of case-based legal arguments. Unlike the predictions generated by statistical or machine-learning techniques, IBP's predictions are accompanied by explanations.We describe an empirical evaluation of IBP, in which we compare our algorithm to prediction based on Hypo's and CATO's relevance criteria, and to a number of widely used machine learning algorithms. IBP reaches higher accuracy than all competitors, and hypothesis testing shows that the observed differences are statistically significant. An ablation study indicates that both sources of knowledge in IBP contribute to the accuracy of its predictions.",,"Abstract domains; Case based; Empirical evaluations; Hypothesis testing; Machine learning algorithms; Machine learning techniques; Predicting outcomes; Relevance criteria; Artificial intelligence; Case based reasoning; Forecasting; Learning algorithms","Bruninghaus, S.; University of Pittsburgh, Pittsburgh, PA, United States",,,,1581137478; 9781581137477,85OAA,,"English","Proc Int Conf Artif Intell Law",Conference Paper,"Final","",Scopus,2-s2.0-29144474860
"Ashley K.D.","7005232254;","Reasoning with cases and hypotheticals in HYPO",1991,"International Journal of Man-Machine Studies","34","6",,"753","796",,87,"10.1016/0020-7373(91)90011-U","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001498703&doi=10.1016%2f0020-7373%2891%2990011-U&partnerID=40&md5=28c6947b8ae5ea3a2850858ab20b596c","University of Pittsburgh, School of Law and Learning, Research and Development Center, Pittsburgh, PA 15260, United States","Ashley, K.D., University of Pittsburgh, School of Law and Learning, Research and Development Center, Pittsburgh, PA 15260, United States","HYPO is a case-based reasoning system that evaluates problems by comparing and contrasting them with cases from its Case Knowledge Base (CKB). It generates legal arguments citing the past cases as justifications for legal conclusions about who should win in problem disputes involving trade secret law. HYPO's arguments present competing adversarial views of the problem and it poses hypotheticals to alter the balance of the evaluation. HYPO uses Dimensions as a generalization scheme for accessing and evaluating cases. HYPO's reasoning process and various computational definitions are described and illustrated, including its definitions for computing relevant similarities and differences, the most on point and best cases to cite, four kinds of counter-examples, targets for hypotheticals and the aspects of a case that are salient in various argument roles. These definitions enable HYPO to make contextually sensitive assessments of relevance and salience without relying on either a strong domain theory or a priori weighting schemes. © 1991.",,,"Ashley, K.D.; University of Pittsburgh, School of Law and Learning, Research and Development Center, Pittsburgh, PA 15260, United States",,,00207373,,IJMMB,,"English","Int. J. Man-Mach. Stud.",Article,"Final","",Scopus,2-s2.0-0001498703
"Ashley K.D., Rissland E.L.","7005232254;6701660287;","A Case-Based Approach to Modeling Legal Expertise",1988,"IEEE Expert-Intelligent Systems and their Applications","3","3",,"70","77",,78,"10.1109/64.21892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024069794&doi=10.1109%2f64.21892&partnerID=40&md5=9c9065240bf288d83c17c8a9a5065ff0","University of Massachusetts, United States","Ashley, K.D., University of Massachusetts, United States; Rissland, E.L., University of Massachusetts, United States",[No abstract available],,"ARTIFICIAL INTELLIGENCE -- Expert Systems; DATA PROCESSING -- Governmental Applications; CASE KNOWLEDGE BASE; CASE-BASED REASONING; CLAIM LATTICE; HYPO COMPUTER PROGRAM; LEGAL EXPERTISE MODELING; LEGISLATION",,,,08859000,,,,"English",,Article,"Final","",Scopus,2-s2.0-0024069794
